Date,Date.1,Open,High,Low,Close,Adj Close,Volume
9/7/17,2017,46.586498,46.820499,46.181,46.797501,46.797501,24254000
9/8/17,2017,46.824501,46.849499,46.243999,46.325001,46.325001,20230000
9/11/17,2017,46.712502,46.918999,46.346001,46.453999,46.453999,25340000
9/12/17,2017,46.629501,46.674,46.19305,46.6035,46.6035,22688000
9/13/17,2017,46.533001,46.862499,46.493,46.754501,46.754501,22052000
9/14/17,2017,46.5625,46.6385,46.200001,46.255501,46.255501,27952000
9/15/17,2017,46.233002,46.324501,45.818001,46.0145,46.0145,50108000
9/18/17,2017,46.0005,46.104,45.529999,45.75,45.75,26138000
9/19/17,2017,45.870998,46.120998,45.627499,46.0905,46.0905,18734000
9/20/17,2017,46.148998,46.694,46.099998,46.578999,46.578999,33396000
9/21/17,2017,46.650002,46.8265,46.191502,46.622501,46.622501,25812000
9/22/17,2017,46.387501,46.7365,46.324001,46.426498,46.426498,21054000
9/25/17,2017,46.272499,46.32,45.485001,46.0485,46.0485,37136000
9/26/17,2017,46.186001,46.541,46.056999,46.243,46.243,33338000
9/27/17,2017,46.387001,47.494999,46.387001,47.224499,47.224499,44788000
9/28/17,2017,47.068001,47.5345,47.0275,47.474998,47.474998,20406000
9/29/17,2017,47.599998,47.9893,47.5755,47.955502,47.955502,31620000
10/2/17,2017,47.999001,48.126999,47.391998,47.663502,47.663502,25668000
10/3/17,2017,47.700001,47.900002,47.457001,47.8895,47.8895,17766000
10/4/17,2017,47.849998,48.019501,47.5345,47.584,47.584,19048000
10/5/17,2017,47.774502,48.545502,47.758999,48.498001,48.498001,24276000
10/6/17,2017,48.334999,48.973,48.167999,48.9445,48.9445,23478000
10/9/17,2017,49,49.271252,48.8055,48.849998,48.849998,17828000
10/10/17,2017,49,49.078499,48.304001,48.630001,48.630001,19368000
10/11/17,2017,48.686001,49.5355,48.612499,49.462502,49.462502,33866000
10/12/17,2017,49.372501,49.706001,49.25,49.391499,49.391499,25248000
10/13/17,2017,49.599998,49.8605,49.450001,49.484001,49.484001,23396000
10/16/17,2017,49.605,49.695351,49.200001,49.599998,49.599998,18210000
10/17/17,2017,49.5145,49.821999,49.429501,49.609001,49.609001,25804000
10/18/17,2017,49.588501,49.835999,49.348751,49.640499,49.640499,21152000
10/19/17,2017,49.299999,49.444,48.919498,49.2225,49.2225,26272000
10/20/17,2017,49.472,49.549999,49.229,49.41,49.41,23664000
10/23/17,2017,49.476002,49.476002,48.306,48.422501,48.422501,29568000
10/24/17,2017,48.5,48.6115,48.049999,48.527,48.527,24244000
10/25/17,2017,48.418499,48.804501,48.026001,48.6665,48.6665,24226000
10/26/17,2017,49,49.380001,48.610001,48.627998,48.627998,40842000
10/27/17,2017,50.459499,52.419498,50.41,50.963501,50.963501,103354000
10/30/17,2017,50.700001,51.248501,50.375,50.855499,50.855499,41702000
10/31/17,2017,50.761002,51.200001,50.521,50.832001,50.832001,26614000
11/1/17,2017,50.8605,51.483501,50.8475,51.275002,51.275002,27468000
11/2/17,2017,51.088001,51.404499,50.650501,51.278999,51.278999,20980000
11/3/17,2017,51.105499,51.6325,51.015499,51.624001,51.624001,21528000
11/6/17,2017,51.449501,51.7435,51.25,51.294998,51.294998,22504000
11/7/17,2017,51.363499,51.698502,51.2565,51.6665,51.6665,22246000
11/8/17,2017,51.526001,52.176102,51.422501,51.9925,51.9925,21774000
11/9/17,2017,51.699501,51.699501,50.983299,51.563,51.563,24904000
11/10/17,2017,51.323002,51.537998,51.264,51.4035,51.4035,14400000
11/13/17,2017,51.171001,51.578999,51.128502,51.287498,51.287498,17716000
11/14/17,2017,51.129501,51.3405,50.7075,51.299999,51.299999,19184000
11/15/17,2017,50.960499,51.204498,50.771,51.045502,51.045502,17080000
11/16/17,2017,51.125999,51.796001,51.125999,51.625,51.625,22594000
11/17/17,2017,51.7005,51.721001,50.887501,50.954498,50.954498,27942000
11/20/17,2017,51.013,51.130501,50.875,50.918999,50.918999,19070000
11/21/17,2017,51.165501,51.755501,51.132751,51.724499,51.724499,21940000
11/22/17,2017,51.75,51.985298,51.571499,51.798,51.798,14926000
11/24/17,2017,51.793499,52.158901,51.75,52.030499,52.030499,10740000
11/27/17,2017,52,52.772999,51.922001,52.710499,52.710499,26158000
11/28/17,2017,52.754501,53.118752,52,52.370499,52.370499,28488000
11/29/17,2017,52.133999,52.203999,50.782501,51.083,51.083,49188000
11/30/17,2017,51.1185,51.4245,50.75,51.070499,51.070499,34480000
12/1/17,2017,50.790001,51.1245,50.101002,50.508499,50.508499,38192000
12/4/17,2017,50.632999,50.805,49.7785,49.933998,49.933998,38128000
12/5/17,2017,49.797001,51.030499,49.414001,50.2575,50.2575,41346000
12/6/17,2017,50.075001,51.248501,50.056999,50.918999,50.918999,25440000
12/7/17,2017,51.0215,51.712002,50.903549,51.546501,51.546501,29164000
12/8/17,2017,51.8745,52.102501,51.626099,51.852501,51.852501,25816000
12/11/17,2017,51.775002,52.189999,51.602501,52.055,52.055,23856000
12/12/17,2017,51.981499,52.515499,51.684502,52.023998,52.023998,25590000
12/13/17,2017,52.306,52.333248,51.918999,52.030499,52.030499,25654000
12/14/17,2017,52.25,52.924999,52.155499,52.4575,52.4575,31174000
12/15/17,2017,52.730499,53.381001,52.474998,53.209499,53.209499,65518000
12/18/17,2017,53.304001,53.9245,53.099998,53.856998,53.856998,31092000
12/19/17,2017,53.759998,53.841999,53.177502,53.534,53.534,26774000
12/20/17,2017,53.589001,53.668999,53.076,53.247501,53.247501,25372000
12/21/17,2017,53.247501,53.466499,53.089699,53.181499,53.181499,19914000
12/22/17,2017,53.0555,53.209999,52.972,53.006001,53.006001,15102000
12/26/17,2017,52.9035,53.006001,52.509998,52.837002,52.837002,15212000
12/27/17,2017,52.869499,52.918499,52.4025,52.468498,52.468498,25438000
12/28/17,2017,52.580002,52.737499,52.238499,52.407001,52.407001,16742000
12/29/17,2017,52.335999,52.485001,52.244999,52.32,52.32,17750000
1/2/18,2018,52.417,53.347,52.261501,53.25,53.25,24752000
1/3/18,2018,53.2155,54.314499,53.1605,54.124001,54.124001,28604000
1/4/18,2018,54.400002,54.678501,54.2001,54.32,54.32,20092000
1/5/18,2018,54.700001,55.212502,54.599998,55.1115,55.1115,25582000
1/8/18,2018,55.1115,55.563499,55.081001,55.347,55.347,20952000
1/9/18,2018,55.470001,55.5285,55.06155,55.313,55.313,18050000
1/10/18,2018,54.855,55.23,54.8055,55.130501,55.130501,20856000
1/11/18,2018,55.314999,55.326248,54.9795,55.276001,55.276001,19566000
1/12/18,2018,55.120499,56.2145,55.057499,56.112999,56.112999,34410000
1/16/18,2018,56.6255,56.995499,55.891602,56.088001,56.088001,31506000
1/17/18,2018,56.311001,56.630001,55.850498,56.598999,56.598999,24052000
1/18/18,2018,56.570499,56.6255,55.875,56.489498,56.489498,23964000
1/19/18,2018,56.591499,56.893002,56.415001,56.8755,56.8755,35564000
1/22/18,2018,56.8745,57.993999,56.755501,57.790501,57.790501,32360000
1/23/18,2018,57.9925,58.581348,57.9375,58.498501,58.498501,26662000
1/24/18,2018,58.866501,58.993,58.052502,58.212002,58.212002,28332000
1/25/18,2018,58.626499,58.797001,58.138,58.518501,58.518501,29610000
1/26/18,2018,58.754002,58.792,57.905499,58.792,58.792,40376000
1/29/18,2018,58.824001,59.344501,58.598999,58.778999,58.778999,27578000
1/30/18,2018,58.391499,58.826,58.175999,58.184502,58.184502,31126000
1/31/18,2018,58.5285,58.650002,57.956501,58.497002,58.497002,30774000
2/1/18,2018,58.130501,58.700001,57.875999,58.384998,58.384998,48242000
2/2/18,2018,56.099998,56.1535,55.363899,55.595001,55.595001,97158000
2/5/18,2018,54.529999,55.5,52.601501,52.790001,52.790001,75966000
2/6/18,2018,51.359001,54.085499,51.156849,54.029999,54.029999,68960000
2/7/18,2018,54.077,54.089001,52.412998,52.429001,52.429001,47384000
2/8/18,2018,52.7705,52.931,50.033001,50.076,50.076,57182000
2/9/18,2018,50.862499,52.198502,49.627998,51.889,51.889,70118000
2/12/18,2018,52.400002,53.075001,52.046398,52.597,52.597,41154000
2/13/18,2018,52.25,52.918499,52.20435,52.605,52.605,25302000
2/14/18,2018,52.447498,53.585999,52.337502,53.485001,53.485001,31116000
2/15/18,2018,53.953499,54.573952,53.216999,54.476002,54.476002,36868000
2/16/18,2018,54.420502,55.233501,54.415649,54.740002,54.740002,33590000
2/20/18,2018,54.5285,55.697498,54.425999,55.123001,55.123001,28462000
2/21/18,2018,55.323502,56.698502,55.316502,55.567001,55.567001,30258000
2/22/18,2018,55.809502,56.140999,55.129501,55.331501,55.331501,26344000
2/23/18,2018,55.632,56.363998,55.235699,56.3395,56.3395,25220000
2/26/18,2018,56.389999,57.198002,56.334751,57.1875,57.1875,31182000
2/27/18,2018,57.062,57.202,55.900002,55.914501,55.914501,35482000
2/28/18,2018,56.151501,56.376499,55.161999,55.2365,55.2365,37652000
3/1/18,2018,55.393501,55.506001,53.350052,53.476002,53.476002,50318000
3/2/18,2018,52.653999,54.099949,52.40575,53.945999,53.945999,45432000
3/5/18,2018,53.757,54.855,53.450001,54.546501,54.546501,24044000
3/6/18,2018,54.960999,55.092499,54.48875,54.752998,54.752998,30656000
3/7/18,2018,54.459499,55.611,54.274101,55.481998,55.481998,25850000
3/8/18,2018,55.765999,56.380001,55.639999,56.299999,56.299999,27102000
3/9/18,2018,56.799999,58.040001,56.623051,58.001999,58.001999,42560000
3/12/18,2018,58.192501,58.852501,57.870998,58.224998,58.224998,43446000
3/13/18,2018,58.5,58.838001,56.6665,56.908501,56.908501,38144000
3/14/18,2018,57.260502,57.929501,57.071999,57.474499,57.474499,25828000
3/15/18,2018,57.498001,58.054001,56.727001,57.479,57.479,27908000
3/16/18,2018,57.707001,57.793999,56.598,56.786499,56.786499,61840000
3/19/18,2018,56.0005,56.099499,54.4505,54.991001,54.991001,56118000
3/20/18,2018,54.950001,55.259998,54.173,54.885502,54.885502,36638000
3/21/18,2018,54.637001,55.314999,54.2575,54.543999,54.543999,37578000
3/22/18,2018,54.094002,54.145,52.295502,52.453999,52.453999,53340000
3/23/18,2018,52.351501,53.167999,51.061001,51.078499,51.078499,43134000
3/26/18,2018,52.299999,52.781502,50.419998,52.6605,52.6605,53302000
3/27/18,2018,53.150002,53.241951,49.846001,50.255001,50.255001,61906000
3/28/18,2018,49.900002,51.211498,49.032001,50.228001,50.228001,67386000
3/29/18,2018,50.581501,52.150002,50.145,51.5895,51.5895,54536000
4/2/18,2018,51.140999,51.740002,49.518501,50.323502,50.323502,53608000
4/3/18,2018,50.695499,51.0495,49.703499,50.670502,50.670502,45502000
4/4/18,2018,49.670502,51.435902,49.650002,51.257,51.257,49694000
4/5/18,2018,52.066502,52.1395,51.00655,51.390499,51.390499,27260000
4/6/18,2018,51,51.570999,50.151501,50.352001,50.352001,34928000
4/9/18,2018,50.84,51.98,50.703999,50.772499,50.772499,35032000
4/10/18,2018,51.321999,51.813999,50.567001,51.582001,51.582001,39490000
4/11/18,2018,51.399502,51.568199,50.793499,50.998501,50.998501,29678000
4/12/18,2018,51.251999,52.0345,51.071751,51.6255,51.6255,27140000
4/13/18,2018,52.043999,52.320999,51.148998,51.463501,51.463501,24460000
4/16/18,2018,51.849998,52.161999,51.337002,51.898998,51.898998,24224000
4/17/18,2018,52.568501,53.894001,52.412998,53.708,53.708,46406000
4/18/18,2018,53.871498,53.871498,53.311249,53.604,53.604,26882000
4/19/18,2018,53.470001,54.708248,53.409,54.384998,54.384998,34954000
4/20/18,2018,54.099998,54.6175,53.4785,53.647999,53.647999,37794000
4/23/18,2018,53.893002,54.136002,53.035,53.372501,53.372501,46826000
4/24/18,2018,52.599998,52.849998,50.529499,50.999001,50.999001,95206000
4/25/18,2018,51.276001,51.6245,50.765499,51.058998,51.058998,47822000
4/26/18,2018,51.475498,52.398998,50.9095,52.001999,52.001999,41590000
4/27/18,2018,52.299999,52.474998,51.279499,51.502499,51.502499,32396000
4/30/18,2018,51.5005,51.849998,50.842499,50.866501,50.866501,33426000
5/1/18,2018,50.682999,51.9235,50.4105,51.865501,51.865501,28558000
5/2/18,2018,51.404999,52.019451,51.143501,51.219002,51.219002,32062000
5/3/18,2018,50.950001,51.483749,50.314499,51.186001,51.186001,36302000
5/4/18,2018,50.845001,52.425499,50.845001,52.4105,52.4105,38774000
5/7/18,2018,52.461498,53.084,52.355,52.739498,52.739498,29322000
5/8/18,2018,52.926998,53.0275,52.35725,52.695499,52.695499,24354000
5/9/18,2018,52.904999,54.271999,52.818249,54.138,54.138,40656000
5/10/18,2018,54.301498,55.021999,54.282001,54.878502,54.878502,28860000
5/11/18,2018,54.68,55.066502,54.545502,54.912998,54.912998,25074000
5/14/18,2018,55,55.537498,54.955502,55.009998,55.009998,30362000
5/15/18,2018,54.5,54.502499,53.6735,53.961498,53.961498,29898000
5/16/18,2018,53.865501,54.463501,53.813,54.088501,54.088501,21946000
5/17/18,2018,53.994499,54.343498,53.674999,53.929501,53.929501,20876000
5/18/18,2018,53.092999,53.497002,53.034,53.318001,53.318001,31304000
5/21/18,2018,53.702999,54.400002,53.682499,53.979,53.979,20464000
5/22/18,2018,54.178001,54.329498,53.334499,53.4865,53.4865,21800000
5/23/18,2018,53.2565,54.039001,53.085499,53.984501,53.984501,21214000
5/24/18,2018,53.950001,54.023499,53.307499,53.962002,53.962002,15336000
5/25/18,2018,53.951,54.127998,53.688751,53.783001,53.783001,17988000
5/29/18,2018,53.244499,53.668499,52.761002,53.015999,53.015999,37302000
5/30/18,2018,53.151501,53.460499,52.841499,53.389999,53.389999,22770000
5/31/18,2018,53.377998,54.859501,53.377998,54.2495,54.2495,61766000
6/1/18,2018,54.967499,56,54.924999,55.974998,55.974998,48432000
6/4/18,2018,56.116501,57.094501,56.10025,56.9645,56.9645,37792000
6/5/18,2018,57.0495,57.2869,56.6595,56.983002,56.983002,33560000
6/6/18,2018,57.108501,57.150002,56.287151,56.844002,56.844002,33964000
6/7/18,2018,56.566002,56.791,55.826,56.193001,56.193001,30400000
6/8/18,2018,55.909,56.3335,55.607498,56.043499,56.043499,25816000
6/11/18,2018,55.93,56.862999,55.93,56.4995,56.4995,21586000
6/12/18,2018,56.553501,56.989498,56.536751,56.966,56.966,18240000
6/13/18,2018,57.056,57.325001,56.668999,56.739498,56.739498,30128000
6/14/18,2018,57.192501,57.773499,57.032001,57.605999,57.605999,26868000
6/15/18,2018,57.443001,57.671001,57.174252,57.612999,57.612999,42450000
6/18/18,2018,57.182499,58.7155,57.179501,58.673,58.673,28274000
6/19/18,2018,57.924999,58.563499,57.7005,58.403,58.403,32420000
6/20/18,2018,58.765499,59.314301,58.458,58.492001,58.492001,32970000
6/21/18,2018,58.7425,58.86475,57.611599,57.882999,57.882999,24762000
6/22/18,2018,57.957001,58.124851,57.362999,57.773998,57.773998,26220000
6/25/18,2018,57.18,57.195499,55.639,56.240501,56.240501,43146000
6/26/18,2018,56.400002,56.6605,55.832951,55.923,55.923,31264000
6/27/18,2018,56.067001,56.591801,55.181,55.199001,55.199001,25878000
6/28/18,2018,55.1045,56.115501,54.800499,55.710999,55.710999,21448000
6/29/18,2018,56,56.41135,55.75,55.782501,55.782501,26302000
7/2/18,2018,54.950001,56.400002,54.689999,56.373001,56.373001,24346000
7/3/18,2018,56.791,56.791,55.000999,55.144501,55.144501,13580000
7/5/18,2018,55.526501,56.375,55.424,56.213501,56.213501,21334000
7/6/18,2018,56.179001,57.046501,56.03685,57.008499,57.008499,19922000
7/9/18,2018,57.424,57.733501,57.171001,57.702499,57.702499,18180000
7/10/18,2018,57.848999,57.9795,57.4795,57.641998,57.641998,15968000
7/11/18,2018,57.2295,58.2145,57.049999,57.695,57.695,22400000
7/12/18,2018,57.994499,59.220501,57.796749,59.174,59.174,25038000
7/13/18,2018,59.25,59.770851,59,59.441002,59.441002,24438000
7/16/18,2018,59.469501,59.549999,58.964001,59.193001,59.193001,21114000
7/17/18,2018,58.611,60.152,58.529999,59.939999,59.939999,32208000
7/18/18,2018,59.827999,60.224998,59.516998,59.793999,59.793999,27872000
7/19/18,2018,59.549999,60,59.166,59.348,59.348,25534000
7/20/18,2018,59.348,59.842999,59.210999,59.245499,59.245499,24948000
7/23/18,2018,59.050499,60.324501,59.049999,60.275002,60.275002,52384000
7/24/18,2018,63.129501,63.299999,61.778,62.403999,62.403999,66364000
7/25/18,2018,61.956501,63.292999,61.956501,63.185001,63.185001,42556000
7/26/18,2018,62.549999,63.488548,62.451,63.4165,63.4165,48112000
7/27/18,2018,63.549999,63.6945,61.549999,61.924999,61.924999,42612000
7/30/18,2018,61.400501,61.7458,60.573502,60.987,60.987,36998000
7/31/18,2018,61.0005,61.379398,60.279999,60.862999,60.862999,32894000
8/1/18,2018,61.400002,61.6735,60.510502,61.0005,61.0005,31344000
8/2/18,2018,60.294998,61.493999,60.239498,61.307499,61.307499,30626000
8/3/18,2018,61.480999,61.5,60.752998,61.185501,61.185501,21792000
8/6/18,2018,61.25,61.304401,60.789848,61.238499,61.238499,21634000
8/7/18,2018,61.849998,62.558498,61.808498,62.111,62.111,29880000
8/8/18,2018,62.023499,62.825001,61.900398,62.280499,62.280499,27406000
8/9/18,2018,62.494999,62.7771,62.300499,62.455002,62.455002,16972000
8/10/18,2018,62.150002,62.284752,61.599998,61.880501,61.880501,22174000
8/13/18,2018,61.848999,62.46365,61.682049,61.7505,61.7505,19946000
8/14/18,2018,61.759499,62.293499,61.255501,62.105,62.105,26962000
8/15/18,2018,61.463001,61.762001,60.475498,60.719002,60.719002,36576000
8/16/18,2018,61.2365,61.299999,60.127499,60.324501,60.324501,26864000
8/17/18,2018,60.101501,60.451,59.411999,60.048,60.048,27792000
8/20/18,2018,60.250999,60.549999,59.7313,60.3885,60.3885,17416000
8/21/18,2018,60.400002,60.862999,60.0177,60.081001,60.081001,24112000
8/22/18,2018,60,60.591999,59.950001,60.366501,60.366501,17748000
8/23/18,2018,60.356998,61.063999,60.212002,60.269001,60.269001,19852000
8/24/18,2018,60.441002,61.0825,60.317951,61.032501,61.032501,18932000
8/27/18,2018,61.380001,62.154499,61.285801,62.091,62.091,23126000
8/28/18,2018,62.064499,62.127251,61.434502,61.557499,61.557499,26080000
8/29/18,2018,61.872501,62.533001,61.817951,62.465,62.465,25978000
8/30/18,2018,62.211498,62.681751,61.629501,61.956001,61.956001,26628000
8/31/18,2018,61.749001,61.932999,60.564251,60.9095,60.9095,36328000
9/4/18,2018,60.213501,60.649502,59.625,59.849998,59.849998,36620000
9/5/18,2018,59.689999,59.9505,58.099998,59.324001,59.324001,41226000
9/6/18,2018,59.314999,59.314999,57.599998,58.571999,58.571999,37770000
9/7/18,2018,57.933498,58.763,57.860748,58.241501,58.241501,28026000
9/10/18,2018,58.609501,58.727001,58.005501,58.231998,58.231998,22308000
9/11/18,2018,58.081501,58.933998,57.812,58.868,58.868,24186000
9/12/18,2018,58.636002,58.9305,57.917999,58.140999,58.140999,25910000
9/13/18,2018,58.536999,58.9305,58.142502,58.766499,58.766499,28624000
9/14/18,2018,58.955002,59.021252,58.4165,58.626499,58.626499,18880000
9/17/18,2018,58.507,58.862,57.7015,57.802502,57.802502,26130000
9/18/18,2018,57.8545,58.804001,57.8545,58.061001,58.061001,24072000
9/19/18,2018,58.249001,58.6605,57.729,58.554501,58.554501,23828000
9/20/18,2018,58.9995,59.494499,58.667999,59.343498,59.343498,24508000
9/21/18,2018,59.599998,59.6105,58.301998,58.304501,58.304501,88112000
9/24/18,2018,57.858501,58.900002,57.345501,58.668499,58.668499,25420000
9/25/18,2018,58.807499,59.344002,58.400002,59.232498,59.232498,19554000
9/26/18,2018,59.2575,59.711498,58.738251,59.024502,59.024502,29246000
9/27/18,2018,59.336498,60.105,59.181499,59.731998,59.731998,25216000
9/28/18,2018,59.593498,59.7705,59.224998,59.6735,59.6735,27612000
10/1/18,2018,59.994499,60.494999,59.514999,59.765499,59.765499,27152000
10/2/18,2018,59.548,60.498001,59.331501,60.005501,60.005501,33758000
10/3/18,2018,60.25,60.320499,59.691502,60.147499,60.147499,25124000
10/4/18,2018,59.766499,59.8755,57.778801,58.4095,58.4095,44190000
10/5/18,2018,58.375,58.674999,57.256001,57.8675,57.8675,23686000
10/8/18,2018,57.505501,58.400002,56.368198,57.448502,57.448502,38648000
10/9/18,2018,57.307499,57.717499,56.878601,56.941002,56.941002,26174000
10/10/18,2018,56.554001,56.608501,54.056499,54.061001,54.061001,53514000
10/11/18,2018,53.646999,55.32,53.413502,53.966,53.966,58980000
10/12/18,2018,55.400002,55.75,54.320099,55.504002,55.504002,42026000
10/15/18,2018,55.445499,55.672298,54.450001,54.612499,54.612499,27448000
10/16/18,2018,55.2295,56.210999,55.125,56.063999,56.063999,38570000
10/17/18,2018,56.323002,56.449501,55.109501,55.7845,55.7845,29344000
10/18/18,2018,56.091999,56.091999,53.8545,54.398499,54.398499,41890000
10/19/18,2018,54.668499,55.518002,54.387501,54.823002,54.823002,25352000
10/22/18,2018,55.153,55.6115,54.549999,55.057999,55.057999,30284000
10/23/18,2018,54.044498,55.394501,53.5,55.184502,55.184502,36974000
10/24/18,2018,55.212502,55.306,52.437,52.5355,52.5355,39648000
10/25/18,2018,53.5895,55.549,53.477501,54.7785,54.7785,50916000
10/26/18,2018,51.851501,55.3265,51.704498,53.573502,53.573502,83752000
10/29/18,2018,54.123501,54.852001,49.7915,51.004002,51.004002,77614000
10/30/18,2018,50.423,51.8745,50.037498,51.810501,51.810501,64254000
10/31/18,2018,52.990501,54.597,52.849998,53.838501,53.838501,50596000
11/1/18,2018,53.790001,54.19875,53.123001,53.5,53.5,29640000
11/2/18,2018,53.686501,54.14875,52.730499,52.8895,52.8895,36780000
11/5/18,2018,52.75,52.9235,51.062,52.004501,52.004501,48828000
11/6/18,2018,51.973999,53.217251,51.9035,52.790501,52.790501,24666000
11/7/18,2018,53.450001,54.772999,53.294998,54.669498,54.669498,41168000
11/8/18,2018,54.569,54.663502,53.610249,54.119999,54.119999,29764000
11/9/18,2018,53.699501,53.778,52.655499,53.307499,53.307499,26864000
11/12/18,2018,53.0695,53.105999,51.549999,51.931499,51.931499,29436000
11/13/18,2018,52.164501,52.83025,51.557499,51.802502,51.802502,30274000
11/14/18,2018,52.5,52.728199,51.549999,52.182999,52.182999,31318000
11/15/18,2018,52.2355,53.592499,51.589001,53.2355,53.2355,36722000
11/16/18,2018,52.970501,53.349998,52.449001,53.074501,53.074501,33162000
11/19/18,2018,52.860001,53.039501,50.813,51,51,37172000
11/20/18,2018,50,51.587002,49.800999,51.287998,51.287998,48982000
11/21/18,2018,51.838001,52.428001,51.6735,51.880501,51.880501,30686000
11/23/18,2018,51.5,51.879501,51.119949,51.194,51.194,13830000
11/26/18,2018,51.9175,52.4655,51.695499,52.431,52.431,38856000
11/27/18,2018,52.049999,52.879002,51.9245,52.220501,52.220501,36064000
11/28/18,2018,52.438,54.341999,51.787998,54.311501,54.311501,49508000
11/29/18,2018,53.804001,54.71225,53.799999,54.415001,54.415001,29378000
11/30/18,2018,54.453499,54.7785,53.894001,54.7215,54.7215,51604000
12/3/18,2018,56.157001,56.232498,55.18325,55.321499,55.321499,39824000
12/4/18,2018,55.155998,55.221001,52.499001,52.541,52.541,46904000
12/6/18,2018,51.713001,53.560001,51.538502,53.436501,53.436501,55384000
